Al,Cu,Si,Fe,Mn,zn,Ti,Mg,Residuals,UTS, Yield
88.25,7,2,0.6,0.3,0.125,0.125,0.05,0.25,190,130
83.4,10,4,1.25,0,1.25,0,0.125,0,210,170
88.65,3.5,6,0.5,0.25,0.5,0.125,0.05,0.25,190,110
87.8,1.5,8,0.5,0.4,0.075,0.125,0.4,0.25,200,120
85.4,3.5,9,0.5,0.25,0.5,0.125,0.275,0.25,230,130
91.7,0.125,7,0.3,0.175,0.175,0.125,0.325,0.075,160,100
87.85,0.3,9.5,1,0.175,0.25,0.075,0.5,0.125,300,170
84.55,3.5,8.5,1,0.25,1.5,0.175,0.05,0.25,320,160
81.9,3.75,11.25,0.65,0.25,1.5,0.175,0.1,0.25,330,170
77.25,0.6,19,0.75,0.4,0.25,0.15,1,0.25,290,270
93.1,0.3,5.25,0.4,0.25,0.25,0.125,0.05,0.175,150,65
94.75,0.075,0.5,0.25,0.175,0.075,0.125,4,0.075,150,83
93.5,0.05,0.15,0.2,0.15,1.8,0.1,4,0.075,200,120
95.1,0.1,5.25,0.65,0.5,0.05,0,3.25,0.075,280,148
92.35,0.125,0.15,0.25,0.05,5.75,0.2,0.575,0.1,250,180
91.5,0.05,0.075,0.075,0.05,7,0.15,0.9,0.075,300,250
92.2,0.1,7,0.1,0.05,0.05,0.1,0.35,0.075,160,83
88.2,0.3,9.5,0.65,0.175,0.25,0.075,0.5,0.125,320,170
82.9,3.75,11.25,0.65,0.25,0.5,0,0.05,0.25,330,170
85.95,0.5,12,0.65,0.175,0.25,0,0.05,0.125,240,130
92.4,0.05,0.1,0.1,0.175,0,0.125,7,0.075,250,120
93.7,0.075,5.25,0.4,0.175,0.175,0.125,0.05,0.075,150,50
88.35,4.5,5.5,0.5,0.25,0.5,0.125,0.05,0.25,190,110
89.75,0.5,7.5,0.6,0.25,0.5,0.1,0.55,0.1,210,110
89.6,0.1,8.5,0.75,0.05,0.075,0,0.3,0.075,300,160
84.1,2.5,10.5,0.065,0.25,1.5,0,0.25,0.25,280,150
77.05,4.5,17,0.65,0.05,0.05,0.1,0.55,0.1,280,240
85.6,0.5,12,1,0.175,0.25,0,0.05,0.125,270,140
92.85,0.175,1.8,0.3,0.4,0.175,0.125,4,0.075,130,83
95.05,0.075,0.175,0.25,0.175,0.075,0.125,4,0.075,180,74
90.3,0.125,0.175,0.9,0.175,0.075,0,8,0.125,310,190
92.55,0.025,0.075,0.075,0.175,0,0.125,6.85,0.075,270,140
92.05,0,0.1,0.4,0.5,4.25,0.125,2.1,0.075,270,200
90,0.7,0.125,0.55,0.3,0,0.125,0.35,0.125,240,170
92.2,0.05,0.075,0.075,0.05,6.5,0.15,0.7,0.075,260,220
84.9,3.5,8.5,0.65,0.25,1.5,0,0.05,0.25,290,160
77.45,4.5,17,0.25,0.05,0.05,0.1,0.55,0.1,220,210
76.15,4.5,17,0.65,0.25,0.75,0.05,0.55,0.1,320,250
92.55,0.05,0.075,0.075,0.025,0,0.175,7,0.075,260,130
